Time,Dist,Vfront,Vrear,LapMeter,F_Susp,R_Susp,F_Brake,Throttle,RPM ECU,Bike_Acc
0,10759,266.1,279,5470.8,20.3,11.5,0,100,13096,2.1
0.014,10760,266,279.9,5472.7,20.5,11.9,0,100,13093,1.7
0.027,10761,265.8,280.5,4105.8,20.5,11.9,0,100,13133,1.3
0.041,10762,266.1,280.6,1.5,20.8,11.8,0,100,13192,0.9
0.055,10763,265.5,280.3,1.5,20.9,11.9,0,100,13131,0.7
0.069,10764,265.3,280,1.5,20.9,11.7,0,100,13132,0.6
0.082,10765,265.6,279.9,1.5,20.7,11.7,0,100,13148,0.7
0.096,10766,266,281.6,3.7,19.5,11.2,0,100,13214,0.9
0.11,10767,266.1,282.3,4.4,18.7,10.6,0,100,13245,1.2
0.124,10768,266,282.7,4.8,17.6,9.6,0,100,13362,1.7
0.137,10769,265.6,283.4,6.7,17.3,8.9,0,100,13331,2.1
0.152,10770,265.1,283.9,7.4,16.7,8.2,0,100,13316,2.5
0.166,10772,265.4,283.8,8.1,16.9,8.2,0,100,13247,2.8
0.179,10772,267,283,10,16.8,8.3,0,100,13231,3
0.193,10773,266.9,282.9,10.3,16.7,8.4,0,100,13249,3.2
0.206,10775,266.7,283,11,16.6,8.4,0,100,13311,3.2
0.22,10775,266.9,283.1,12.9,16.4,8.3,0,100,13308,3.2
0.234,10777,266.6,283.9,13.3,16.4,8.3,0,100,13325,3.1
0.248,10778,266.4,283.9,14,16.6,8.7,0,100,13296,2.9
0.261,10778,266.8,282.5,16.3,17.6,9.5,0,100,13202,2.7
0.275,10780,267.9,282.5,16.3,18,10.4,0,100,13165,2.5
0.289,10781,268.2,282.1,17.3,18.6,11.7,0,100,13192,2.2
0.303,10781,267.7,281.5,19.2,18.6,12.2,0,100,13237,1.9
0.316,10783,267.5,281.8,19.2,19.3,12.4,0,100,13266,1.6
0.33,10784,267.3,282,20.3,19.7,12.4,0,100,13267,1.4
0.343,10784,267.4,282.3,22.2,20.4,12.6,0,100,13196,1.2
0.357,10786,268.2,282.7,22.2,20.9,12.8,0,100,13234,1
0.371,10787,268.4,282.8,23.8,21.6,13.1,0,100,13244,0.9
0.384,10787,268.3,282.6,25.2,21.8,12.8,0,100,13282,0.8
0.398,10789,268.4,282.4,25.2,21.9,12.4,0,100,13306,0.8
0.412,10790,268,283.4,26.6,21.6,11.8,0,100,13334,0.9
0.425,10790,267.5,284.6,28.2,20.8,11.3,0,100,13322,1
0.439,10791,267.3,285.1,28.2,19.8,10.5,0,100,13399,1.2
0.452,10792,268.1,285.4,29.7,18.9,9.8,0,100,13398,1.4
0.466,10793,268.8,285.6,31.1,18.3,9.1,0,100,13412,1.7
0.48,10794,268.4,285.6,31.1,17.6,8.6,0,100,13412,2
0.494,10795,268.5,286,33,17,8.2,0,100,13398,2.3
0.507,10796,268.5,286.2,34.2,16.4,7.9,0,100,13422,2.6
0.521,10797,267.8,285.8,34.2,15.9,7.7,0,100,13439,2.9
0.534,10798,268.2,287.3,36.1,15.4,7.5,0,100,13462,3
0.548,10799,268.9,287.6,37.2,15.9,7.5,0,100,13473,3
0.562,10800,269.6,286.7,37.2,16.3,7.8,0,100,13391,2.8
0.575,10801,269.8,285.5,39.1,16.9,8.4,0,100,13331,2.5
0.589,10802,269.7,284.6,40.2,17.7,9.4,0,100,13345,2
