Time,Dist,Vfront,Vrear,LapMeter,F_Susp,R_Susp,F_Brake,Throttle,RPM ECU,Bike_Acc
0.00,10759.00,266.10,279.00,5470.80,20.30,11.50,0.00,100.00,13096.00,2.10
0.01,10760.00,266.00,279.90,5472.70,20.50,11.90,0.00,100.00,13093.00,1.70
0.03,10761.00,265.80,280.50,4105.80,20.50,11.90,0.00,100.00,13133.00,1.30
0.04,10762.00,266.10,280.60,1.50,20.80,11.80,0.00,100.00,13192.00,0.90
0.06,10763.00,265.50,280.30,1.50,20.90,11.90,0.00,100.00,13131.00,0.70
0.07,10764.00,265.30,280.00,1.50,20.90,11.70,0.00,100.00,13132.00,0.60
0.08,10765.00,265.60,279.90,1.50,20.70,11.70,0.00,100.00,13148.00,0.70
0.10,10766.00,266.00,281.60,3.70,19.50,11.20,0.00,100.00,13214.00,0.90
0.11,10767.00,266.10,282.30,4.40,18.70,10.60,0.00,100.00,13245.00,1.20
0.12,10768.00,266.00,282.70,4.80,17.60,9.60,0.00,100.00,13362.00,1.70
0.14,10769.00,265.60,283.40,6.70,17.30,8.90,0.00,100.00,13331.00,2.10
0.15,10770.00,265.10,283.90,7.40,16.70,8.20,0.00,100.00,13316.00,2.50
0.17,10772.00,265.40,283.80,8.10,16.90,8.20,0.00,100.00,13247.00,2.80
0.18,10772.00,267.00,283.00,10.00,16.80,8.30,0.00,100.00,13231.00,3.00
0.19,10773.00,266.90,282.90,10.30,16.70,8.40,0.00,100.00,13249.00,3.20
0.21,10775.00,266.70,283.00,11.00,16.60,8.40,0.00,100.00,13311.00,3.20
0.22,10775.00,266.90,283.10,12.90,16.40,8.30,0.00,100.00,13308.00,3.20
0.23,10777.00,266.60,283.90,13.30,16.40,8.30,0.00,100.00,13325.00,3.10
0.25,10778.00,266.40,283.90,14.00,16.60,8.70,0.00,100.00,13296.00,2.90
0.26,10778.00,266.80,282.50,16.30,17.60,9.50,0.00,100.00,13202.00,2.70
0.28,10780.00,267.90,282.50,16.30,18.00,10.40,0.00,100.00,13165.00,2.50
0.29,10781.00,268.20,282.10,17.30,18.60,11.70,0.00,100.00,13192.00,2.20
0.30,10781.00,267.70,281.50,19.20,18.60,12.20,0.00,100.00,13237.00,1.90
0.32,10783.00,267.50,281.80,19.20,19.30,12.40,0.00,100.00,13266.00,1.60
0.33,10784.00,267.30,282.00,20.30,19.70,12.40,0.00,100.00,13267.00,1.40
